id,url,entry_date,title,felt,elapsed_time,distance_in_miles,distance_in_km,description,effort_outof_5,gear,weather,calories,pace_per_mile,pace_per_km
29300538,http://www.dailymile.com/entries/29300538,2014-06-26 12:59:05,Track 5 x 1000m,alright,00:26:30,2.4000,3.8000,"Track workout 5 x 1000m. Didn't feel great but did finish the workout. Looking forward to a running break after the 4th of July. Splits (rest): 3:30 (2:02), 3:32 (2:05), 3:39 (2:06), 3:41 (2:13), 3:41",4,Altra Samson,,324,00:11:02.5,00:06:58.421053
32994501,http://www.dailymile.com/entries/32994501,2015-06-12 02:14:58,Track meet 1500m,alright,00:04:53,0.9000,1.5000,"Gainesville track series at Cone Park. I was 4 times as old as each of my opponents. 1500m race in 4:53. Splits: 53s (300m), 1:19, 1:22, 1:18.",5,Altra Samson,hot sunny,48,00:05:25.555556,00:03:15.333333
32994555,http://www.dailymile.com/entries/32994555,2015-06-12 02:21:54,Track meet 3000m,alright,00:10:56,1.9000,3.0000,"Gainesville track series at Cone Park. Rare occasion to take 1st and last place in the same race. 3000m in 10:56. Splits: a few 1:28, slowest lap in 1:31, last two in 1:27, 1:25.",5,Altra Samson,,121,00:05:45.263158,00:03:38.666667
33125817,http://www.dailymile.com/entries/33125817,2015-06-27 01:59:49,Our Town 5k race,good,00:17:53,3.1000,5.0000,"Nice race in my hometown on a cool damp evening. 3rd Annual Our Town 5k. Pleased with my 2nd place finish overall and a time of 17:53. Splits: 5:25, 6:16, 6:12 (last 1.1 mi)",5,Inov-8 Bare-X 150,rain,206,00:05:46.129032,00:03:34.6
33655944,http://www.dailymile.com/entries/33655944,2015-08-26 17:37:25,Track workout 10 x 200m,alright,00:30:00,2.5000,4.0000,"I'm going to tag this as heat training also. The track was burning at noon in full Florida sun... in my FiveFingers. 10 x 200m on the track, Splits: 34, 35, 34, 34, 35, 35, 34, 36, 35, 35 with rest avg. under 1:40.",2,,hot sunny,363,00:12:00,00:07:30
33702808,http://www.dailymile.com/entries/33702808,2015-09-01 12:25:50,Track workout 14 x 400m,good,00:39:45,5.3000,8.6000,"On the track with Dan Clark's workout group. 14 x 400m track workout with mostly 200m rest in between each rep. (or about 1:20 rest). Kicked ass today and able to hang with the fast guys... thru 12 reps at least. On the last 2 my legs were gone and I was completely gassed. Looking through my training logs, I have never done more than ten reps previously, and the paces today were consistently faster, so good quality workout. Splits: 77, 76, 73, 77, 77, 75, 77, 76, 77, 76, 75, 75, 81, 81",4,Altra Samson pair 2,,485,00:07:30,00:04:37.325581
34212598,http://www.dailymile.com/entries/34212598,2015-11-10 12:52:49,Track workout ladder,tired,00:00:00,0.0000,0.0000,"Track workout 4 x 100m, 4 x 200m, 4 x 300m, 3 x 400m. Bailed the second half of workout.",4,,,,,
35255883,http://www.dailymile.com/entries/35255883,2016-04-12 11:42:45,Track workout - Ladder 4-3-2-1,alright,00:00:00,0.0000,0.0000,"Track workout - Ladder 4-3-2-1 aka 1600m, 1200m, 800m, 400m with 400m recoveries at moderate pace, not a jog. Paced Richard through this one. Splits (Recoveries): 6:31 (1:58), 5:05 (2:08), 3:21 (2:08), 1:32",3,Altra Samson,,,,
2069257,http://www.dailymile.com/entries/2069257,2010-06-08 04:00:00,Hogtown Creek Greenway,good,00:26:19,2.5000,4.0000,Ran the whole thing in my Nike Frees.  Felt great until my calf went out and I had to gimp the last little bit.,,Nike Free Run+,,337,00:10:31.6,00:06:34.75
1980554,http://www.dailymile.com/entries/1980554,2010-05-22 16:00:00,Hogtown Creek Greenway,injured,00:00:00,1.5000,2.4000,Brand new shoes and this is what I get.,,,,165,59:59:59,59:59:59
1980574,http://www.dailymile.com/entries/1980574,2010-05-25 04:00:00,None,alright,00:00:00,2.2500,3.6000,Incorporated my first barefoot run.,,Barefoot,,248,59:59:59,59:59:59
1980599,http://www.dailymile.com/entries/1980599,2010-05-29 04:00:00,None,alright,00:00:00,2.2500,3.6000,CALVES!  1.5 mi of this was barefoot.,,Nike Free Run+,,248,59:59:59,59:59:59
1993425,http://www.dailymile.com/entries/1993425,2010-06-01 16:00:00,Hogtown Creek Greenway,blah,00:00:00,2.5000,4.0000,"Ran barefoot part of the way, some on hot concrete.  Near-instant blisters.  Eagerly waiting for my RunAmocs to arrive from Soft Star Shoes.",,,,276,59:59:59,59:59:59
4230163,http://www.dailymile.com/entries/4230163,2010-11-26 23:11:44,warmup barefoot,good,00:05:00,0.5000,0.8000,,1,Barefoot,,64,00:10:00,00:06:15
19389946,http://www.dailymile.com/entries/19389946,2012-11-29 13:25:06,warmup and down,,00:40:00,4.4000,7.1000,,1,Altra Samson,,485,00:09:05.454545,00:05:38.028169
30875307,http://www.dailymile.com/entries/30875307,2014-10-25 23:15:21,warm up and down,good,00:45:00,5.0000,8.1000,,2,Altra 3-Sum,,557,00:09:00,00:05:33.333333
4230170,http://www.dailymile.com/entries/4230170,2010-11-26 23:12:34,warmup,good,00:18:48,2.0000,3.2000,,2,Mizuno Wave Universe 3,,230,00:09:24,00:05:52.5
7044498,http://www.dailymile.com/entries/7044498,2011-05-11 02:18:19,warmup,alright,00:32:42,3.2000,5.2000,,1,Altra Instinct,,388,00:10:13.125,00:06:17.307692
2148453,http://www.dailymile.com/entries/2148453,2010-06-15 04:00:00,Hogtown Creek Greenway,blah,00:28:30,2.4042,3.9000,"Ran in my Nike Free Run+ because my calves and foot were not feeling happy.  After all the running barefoot and in minimal shoes, I think my feet are more sensitive and I could feel ""through"" the insole to all of the bumps and ridges in the support structure... and one shoe felt different than the other.  I felt a hard ridge under the ball of the right foot.  It was very distracting and my foot eventually started hurting.",,Nike Free Run+,,363,00:11:51.255303,00:07:18.461538
2965624,http://www.dailymile.com/entries/2965624,2010-08-20 11:50:40,Brywood to NW 31st Blvd (Glen Springs Rd) out and back,blah,00:42:17,4.0476,6.5000,Very creaky this morning.,2,Nike Free Run+,,589,00:10:26.791185,00:06:30.307692
2082456,http://www.dailymile.com/entries/2082456,2010-06-09 04:00:00,Hogtown Creek Greenway,alright,00:00:00,1.0000,1.6000,"Ran by myself so I could work on form.  I had to try out my new RunAmocs!  I like them a lot.  Seems like they are a little bit small (my toes end up pushing on the front inside of the moccasin) even though the Soft Star web site says to go smaller if between sizes (I wear size 9 1/2, ordered size 9).  The longest part of the shoe seems too close to the middle of the shoe, rather than offset in front of the big toe.  Also, the top of the shoe stretches over the big toe like a tent (as if there is not enough internal height). Not sure if a larger size would fix these issues or maybe just have to run in them more than once.",,RunAmoc,,110,59:59:59,59:59:59
5998526,http://www.dailymile.com/entries/5998526,2011-03-20 01:13:03,warmup,,00:00:00,1.0000,1.6000,,1,Mizuno Wave Universe 3,,104,59:59:59,59:59:59
20856321,http://www.dailymile.com/entries/20856321,2013-02-12 14:05:38,greenways,,00:40:00,3.7500,6.0000,,2,Merrell Trail Glove,,485,00:10:40,00:06:40
25954101,http://www.dailymile.com/entries/25954101,2013-11-11 02:27:46,treadmill,alright,00:25:00,2.2500,3.6000,,2,,,309,00:11:06.666667,00:06:56.666667
31931889,http://www.dailymile.com/entries/31931889,2015-02-15 19:35:19,warm up,,00:18:00,2.0000,3.2000,,2,Altra 3-Sum,,218,00:09:00,00:05:37.5
32894427,http://www.dailymile.com/entries/32894427,2015-06-01 16:20:46,Campus B loop,alright,00:38:00,3.9000,6.3000,,2,VFF KSO EVO,,460,00:09:44.615385,00:06:01.904762
33281404,http://www.dailymile.com/entries/33281404,2015-07-14 12:14:47,The Daily,alright,00:18:20,1.6600,2.7000,barefoot,1,Barefoot,,218,00:11:02.650602,00:06:47.407407
35255802,http://www.dailymile.com/entries/35255802,2016-04-12 11:37:55,warm up and down,alright,00:48:00,5.2000,8.4000,,1,Altra Samson,,602,00:09:13.846154,00:05:42.857143
35517519,http://www.dailymile.com/entries/35517519,2016-05-24 11:38:17,longer round trip to track,alright,00:45:00,4.5500,7.3000,,2,Altra Samson,,565,00:09:53.406593,00:06:09.863014
2228559,http://www.dailymile.com/entries/2228559,2010-06-22 04:00:00,1.5 barefoot,injured,00:00:00,1.5000,2.4000,Coming off the damp greenway trail and hitting the concrete sidewalk on 8th Ave gave me blisters but did not realize until I got home and happened to look at the bottom of my foot.  Concrete was not bad at all in the shade.  My foot injury still hurts so I am a dumbass for running at all.,,Barefoot,,165,59:59:59,59:59:59
2309898,http://www.dailymile.com/entries/2309898,2010-06-29 04:00:00,Hogtown Creek Greenway,good,00:00:00,1.0000,1.6000,"The rain scared off my running buddies so I was able to run slow and easy without any ""man pressure"" (TM).  Ran trails in my VFF, actually my first real run in them.  I'm glad I was not barefoot... due to the LIGHTNING! and the fact that the trail got really dark, especially with my glasses fogging up.  Bikilas have pretty good traction on wet boardwalk.  Listened to my body, no foot pain!  Icing now.",,VFF Bikila,,110,59:59:59,59:59:59
2363194,http://www.dailymile.com/entries/2363194,2010-07-03 04:00:00,barefoot,good,00:00:00,0.5000,0.8000,"Played ""follow the leader"" with my 3-year old.  We ended up barefoot running through the woods.  It was fun!",,Barefoot,,61,59:59:59,59:59:59
2363210,http://www.dailymile.com/entries/2363210,2010-07-04 04:00:00,Spectating the Gainesville Melon Run,alright,00:00:00,1.0000,1.6000,Ran about a mile taking pictures of the Gainesville Melon Run.  I'll try to find a place to share the pictures.,,VFF Bikila,,122,59:59:59,59:59:59
2642461,http://www.dailymile.com/entries/2642461,2010-07-27 00:22:57,Brywood to NW 31st Blvd (Glen Springs Rd) out and back,tired,00:45:30,4.0476,6.5000,"Yeah... today probably should have been a rest day.  I worked late, so I ran later than usual but had no dinner before.  Do not start a run when your stomach is grumbling for food!  I was so out of Lift that I even let myself heel strike for portions of the run and also did some walking.",,Nike Free Run+,hot,639,00:11:14.473762,00:07:00
2351035,http://www.dailymile.com/entries/2351035,2010-07-02 04:00:00,Testing my new Deuter backpack.,good,00:20:00,1.0000,1.6000,Run / walk in the dark in the rain in my VFF Bikilas.  I tested my new Deuter Race EXP backpack crammed full of stuff.  I think it will work for commuting.,,VFF Bikila,,259,00:20:00,00:12:30
2356130,http://www.dailymile.com/entries/2356130,2010-07-03 04:00:00,Good to be running again.,alright,00:26:20,2.0000,3.2000,"Slow run in my huarache sandals, looking over the hazards on the Melon Run course.   Trying to decide whether to run tomorrow or spectate, and what to wear on my feet.",,Huarache Sandals,,337,00:13:10,00:08:13.75
3172634,http://www.dailymile.com/entries/3172634,2010-09-05 15:04:57,Hogtown Creek Greenway,good,00:00:00,1.5000,2.4000,Warmup and cooldown.,1,VFF Bikila,,176,59:59:59,59:59:59
33060872,http://www.dailymile.com/entries/33060872,2015-06-19 04:00:00,track workout 6 x 1000m in the heat,blah,00:38:00,4.5000,7.2000,"Scorcher of a track workout, and I'm not talking about my times. By the end, temp. was 93 degrees with ""feels like"" 98 degrees. Calves and quads were still sore from stairs 2 days ago. Combined with allergies and some personal stuff going on this week... well, not a great workout except for getting in some hard work in the heat. 6 x 1000m splits: 3:38, 3:52, 4:01, 4:20, 4:12, 4:08 with 1:30 - 3:00 rest / water break in between.",4,Altra Samson,hot sunny,460,00:08:26.666667,00:05:16.666667
35047554,http://www.dailymile.com/entries/35047554,2016-03-10 21:10:22,campus,alright,00:32:00,3.0000,4.8000,,2,VFF KSO EVO,,401,00:10:40,00:06:40
2392874,http://www.dailymile.com/entries/2392874,2010-07-06 04:00:00,Yay for shoes.,good,00:43:30,3.5000,5.6000,"Going to cut back on the barefoot and minimalist shoes for a bit.  My feet are just not ready to go minimalist full-time.  I ran in Nike Frees tonight and the things went well.  Pain-free, slow, but well.",,Nike Free Run+,,618,00:12:25.714286,00:07:46.071429
2420042,http://www.dailymile.com/entries/2420042,2010-07-09 00:00:10,Brywood to NW 31st Blvd (Glen Springs Rd) out and back,good,00:38:18,4.0476,6.5000,"Whew!  I'm tired now.  Ran in Nike Frees.  If you are still running in cotton t-shirts, go buy some Champion Duo-Dry at Target... seems to make a huge difference on these hot humid summer days.",,Nike Free Run+,,546,00:09:27.743848,00:05:53.538462
2441987,http://www.dailymile.com/entries/2441987,2010-07-10 23:11:00,Yay for barefoot,good,00:35:17,2.5000,4.0000,"Mostly on shady trails but some sidewalk and road.  Concentrated on form, trying to avoid blisters from 4pm hot surfaces.  I did get some blisters but at least none of them ripped open.  I guess this means my technique is getting better.  Running without pain certainly helps, too.  It was nice to feel the trail under my bare feet again.",,Barefoot,,503,00:14:06.8,00:08:49.25
2446706,http://www.dailymile.com/entries/2446706,2010-07-11 14:23:47,Longest run so far this year!,alright,01:06:05,5.5000,8.9000,"Wanted to try getting a longer run in today.  Already hot by 8am.  Wasn't sure how far it was until I got back home and mapped it.  Ran along 16th Ave and University.  I'm surprised by my pace, I figured it would be slower... so that's good.  :)",,Nike Free Run+,,949,00:12:00.909091,00:07:25.505618
2477994,http://www.dailymile.com/entries/2477994,2010-07-13 22:32:39,Hogtown Creek Greenway,tired,00:23:42,2.4042,3.9000,One of the guys decided to rabbit us today and we all died hard.,,VFF Bikila,,330,00:09:51.464936,00:06:04.615385
2493517,http://www.dailymile.com/entries/2493517,2010-07-14 23:55:17,Brywood hills,alright,00:35:27,3.4000,5.5000,"Hills, hills, hills!",,Nike Free Run+,,503,00:10:25.588235,00:06:26.727273
4552569,http://www.dailymile.com/entries/4552569,2010-12-27 21:35:21,Springdale LSD,alright,01:27:38,8.8400,14.2000,,2,Mizuno Wave Universe 3,,1115,00:09:54.79638,00:06:10.28169
2530085,http://www.dailymile.com/entries/2530085,2010-07-17 23:50:51,RunAmoc trial 2,blah,00:33:31,2.5000,4.0000,Gave my RunAmocs another try. That's probably the last time I run in them. A combination of the moccasin design that has too little internal height and probably wearing a size too small puts too much pressure on my big toenail.,,RunAmoc,,474,00:13:24.4,00:08:22.75
2567027,http://www.dailymile.com/entries/2567027,2010-07-20 23:29:02,None,alright,00:40:47,3.8690,6.2000,Hot out there.,,Nike Free Run+,,575,00:10:32.463169,00:06:34.677419
4000095,http://www.dailymile.com/entries/4000095,2010-11-08 01:54:06,night run,alright,00:55:18,6.2200,10.0000,Started out as a short run to get the kinks out.  Once I got warmed up I decided to go longer.,3,Mizuno Wave Universe 3,,714,00:08:53.440514,00:05:31.8
2805300,http://www.dailymile.com/entries/2805300,2010-08-08 13:42:16,Fast barefoot run,good,00:23:06,2.4000,3.9000,"I was just going to do a nice, easy morning run... but then two shod runners turned onto the trail at the same time as me.  The guy gave some neighborly advice: ""Don't stub your toe on a tree root.""  The female runner said ""We're just jealous.""   She actually had a nice midfoot strike, even though she was wearing marshmallow shoes.  I hung in behind them for a while, and when I turned onto 8th Ave I just started cruising (the other runners had stopped to rest)... and kept cruising... and kept cruising.  Pretty sure this is my fastest barefoot run yet.  There were quite a few people out today, so I contributed some good barefoot exposure to the world.  My leg muscles were ""twitchy"" afterwards.",4,Barefoot,humid,322,00:09:37.5,00:05:55.384615
2886862,http://www.dailymile.com/entries/2886862,2010-08-14 14:33:05,Greenway to University turn at Swamp,blah,01:01:02,5.5300,8.9000,"Morning run before breakfast.  Hopefully burned some fat. Didn't have much lift today after running last night, took a lot of effort to keep moving.  Where is ""Humid"" in Weather?",4,Nike Free Run+,,856,00:11:02.206148,00:06:51.460674
2897353,http://www.dailymile.com/entries/2897353,2010-08-15 14:09:27,San Felasco Hammock Preserve trails (off Millhopper Rd),alright,01:28:54,7.2000,11.6000,"Did the outside loop, blue then yellow.  The sandy spots were damp / packed and didn't give me much trouble.  Three long days in a row... this dog is tired.",2,Nike Free Run+,,1235,00:12:20.833333,00:07:39.827586
2933115,http://www.dailymile.com/entries/2933115,2010-08-18 00:59:31,Hogtown Creek Greenway,good,00:24:30,2.4042,3.9000,"Barefoot, felt great.",3,Barefoot,,336,00:10:11.429998,00:06:16.923077
35251365,http://www.dailymile.com/entries/35251365,2016-04-11 17:42:29,hill sprints,,01:06:00,6.7500,10.9000,,3,Topo ST,,829,00:09:46.666667,00:06:03.302752
2978380,http://www.dailymile.com/entries/2978380,2010-08-21 15:12:47,San Felasco,alright,01:54:03,10.4000,16.7000,"That place was BUSY today.  Ran half of Cathy B.'s workout.  Over 10 miles, that's my new longest run!",3,Nike Free Run+,,1599,00:10:57.980769,00:06:49.760479
3024845,http://www.dailymile.com/entries/3024845,2010-08-25 00:49:50,Brywood to NW 31st Blvd (Glen Springs Rd) out and back,good,00:37:25,4.0476,6.5000,"Did a fast pick-up in the middle, pushed my friend Matt's distance up a little.  Went fast enough to feel it in the hamstrings.",4,Nike Free Run+,windy,512,00:09:14.649669,00:05:45.384615
31077549,http://www.dailymile.com/entries/31077549,2014-11-16 20:28:52,warmup,good,00:10:00,1.0000,1.6000,,1,Altra Torin,,123,00:10:00,00:06:15
3172668,http://www.dailymile.com/entries/3172668,2010-09-05 15:07:30,Tempo run,good,00:09:13,1.2000,1.9000,"VFF Bikilas were slipping on the sandy parts, otherwise felt good.",5,,,124,00:07:40.833333,00:04:51.052632
3207070,http://www.dailymile.com/entries/3207070,2010-09-08 01:00:42,Brywood to NW 31st Blvd (Glen Springs Rd) out and back,good,00:20:00,2.0000,3.2000,Warmup out.,2,VFF Bikila,,277,00:10:00,00:06:15
3349717,http://www.dailymile.com/entries/3349717,2010-09-18 14:13:16,San Felasco (Millhopper Rd),tired,01:46:00,9.6000,15.5000,Gluts were sore from Thursday hill workout.,3,Nike Free Run+,,1469,00:11:02.5,00:06:50.322581
3363698,http://www.dailymile.com/entries/3363698,2010-09-19 16:32:37,Glen Springs Rd. Loop,alright,01:06:21,6.1600,9.9000,Yay for LSD (Long Slow Distance). Got very hot at the end (noon).  I think this is my longest run in VFF.  No arch pains or any of the other issues that I used to get from VFF.  I guess my form is much improved.,2,,sunny,914,00:10:46.266234,00:06:42.121212
3785974,http://www.dailymile.com/entries/3785974,2010-10-21 02:33:07,campus,blah,00:50:00,5.5800,9.0000,Run after work.  bleh.,3,VFF Bikila,,649,00:08:57.634409,00:05:33.333333
21288484,http://www.dailymile.com/entries/21288484,2013-03-05 03:06:08,First night run in a while,alright,00:55:07,6.2000,10.0000,Big dinner. Cold night. Nice run.,2,Altra Instinct 1.5,,667,00:08:53.387097,00:05:30.7
3405188,http://www.dailymile.com/entries/3405188,2010-09-21 04:00:00,long night loop,good,01:25:24,9.1000,14.7000,"The moon was out bright tonight. My longest run in VFF. Definitely cooler.  Had plenty of fuel and actually let it digest before running... it was lasagna night at Leonardos (Millhopper).  I ran on major streets which were well-lit. Running in the upper end of my aerobic capacity for sure. I never stopped my watch during the run, so the overall time included all the stops. I had to take off my VFF and run barefoot for a few minutes to get rid of an arch cramp.  Getting them back on again took a while. And now I am drinking a beer because I earned it.",4,VFF Bikila,,1126,00:09:23.076923,00:05:48.571429
16001912,http://www.dailymile.com/entries/16001912,2012-06-22 11:08:30,The Daily,alright,00:19:00,1.6600,2.7000,Stiff from running last night.,1,Barefoot,,235,00:11:26.746988,00:07:02.222222
3429022,http://www.dailymile.com/entries/3429022,2010-09-24 00:22:15,UF campus,tired,00:42:27,4.1800,6.7000,"I'm experiencing deja vu from the 1990s... my body flips out when the weather gets cooler, as if my legs never get warmed up enough due to that highly efficient cooling system of mine (e.g. super sweat).  This was the second part of my double. Made it through, ankles are sore, icing... ahhh.  One more long run this weekend, then take it easy in prep for two weekends in a row with races.",3,Nike Free Run+,,556,00:10:09.330144,00:06:20.149254
3546925,http://www.dailymile.com/entries/3546925,2010-10-02 23:25:22,Dog Days 5k,alright,00:22:07,3.1000,5.0000,Just a scooch over 22 minutes.,5,VFF Bikila,,291,00:07:08.064516,00:04:25.4
3551675,http://www.dailymile.com/entries/3551675,2010-10-03 14:54:45,Hogtown Creek Greenway,tired,00:26:38,2.5000,4.0000,Barefoot.  Still sick.  Bleh.,3,Barefoot,,344,00:10:39.2,00:06:39.5
3636023,http://www.dailymile.com/entries/3636023,2010-10-09 19:26:37,John Holmes 16 mile trail race barefoot,good,02:31:29,16.0000,25.8000,"I finished!  Longest run ever in my whole life. Barefoot is the way to go when running on sugary sand trails.  Third in my age group.  First half of the race I was at the back of the lead pack.  I died hard hard hard after 1 hour 50 minutes... for some reason I thought I should try to race the second (last) 7-mile loop. My shoulders and back tied in knots.  After the race, lots of people were interested in my bare feet... maybe I'll make the highlight reel. A Gainesville woman (Kristen Bryant) won the female side of our age group.",5,Barefoot,sunny,1962,00:09:28.0625,00:05:52.286822
3961644,http://www.dailymile.com/entries/3961644,2010-11-04 18:24:14,Hogtown Creek Greenway,alright,00:25:30,2.5000,4.0000,Shake-out run getting ready for Saturday.,1,Mizuno Wave Universe 3,,324,00:10:12,00:06:22.5
4486820,http://www.dailymile.com/entries/4486820,2010-12-20 17:39:09,intervals,good,00:26:00,3.0000,4.8000,"Found a nice place to run intervals... a long stretch of sidewalk near a field with a strong headwind, ending with a slight incline.  4x600m @ 2:30 with 4 minute recovery in between.",4,,windy,333,00:08:40,00:05:25
4495902,http://www.dailymile.com/entries/4495902,2010-12-21 14:20:11,around neighborhoods,alright,00:49:08,5.1700,8.3000,,3,Mizuno Wave Universe 3,,628,00:09:30.212766,00:05:55.180723
4967573,http://www.dailymile.com/entries/4967573,2011-01-22 14:43:13,Gave the RunAmocs another try,good,00:30:37,2.7000,4.3000,"I was pleasantly surprised that I didn't have any of the ""big toe pressure"" issues that I used to get in my RunAmoc moccasins.  My conversion from forefoot to midfoot apparently keeps my toe from jamming up in the front of the moc.  I also wore them much looser around the ankle and this was not a problem, either. Traction was good even on wet boardwalk. They were plenty warm this morning (with socks) and felt great all around.",1,RunAmoc,,379,00:11:20.37037,00:07:07.209302
5437317,http://www.dailymile.com/entries/5437317,2011-02-17 22:50:40,easy barefoot,alright,00:11:00,1.0000,1.6000,"Got a few barefoot steps in while waiting for the grill to heat up.  Finally, a week-day run while the sun was still up!!!",,Barefoot,,139,00:11:00,00:06:52.5
5480297,http://www.dailymile.com/entries/5480297,2011-02-20 15:36:53,RunAmocs on San Felasco trails,good,01:04:02,7.6000,12.2000,Two hammock cutoff loops.  The RunAmocs felt great.  Really happy I can run in them now that my technique has changed (no longer driving my foot into the front of the shoe).,3,RunAmoc,,809,00:08:25.526316,00:05:14.918033
5493130,http://www.dailymile.com/entries/5493130,2011-02-21 02:51:38,None,great,00:51:34,6.2000,10.0000,"Seemed to have extra energy tonight (it's hard not to eat a lot on weekends) so I went for a second run of the day.  Felt good.  Beautiful, beautiful weather.  About halfway through the run I remembered the beer that I drank earlier.  Finally found my stride in my MWU3 shoes.  Great running week, no injuries!",3,Mizuno Wave Universe 3,,645,00:08:19.032258,00:05:09.4
5551873,http://www.dailymile.com/entries/5551873,2011-02-24 04:13:16,long night loop,good,01:20:00,9.1000,14.7000,Perfect evening for a run.  Wore my VFF.,3,VFF Bikila,,1011,00:08:47.472527,00:05:26.530612
5588204,http://www.dailymile.com/entries/5588204,2011-02-26 15:43:04,STAR 5k,good,00:20:09,3.1000,5.0000,"STAR 5k. Splits: 6:03, 6:47, 6:44, 0:35.   Missed going under 20 minutes, but happy with my splits.  Except for Dan C., it was only a bunch of young kids that beat me.  :)",5,VFF Bikila,,252,00:06:30,00:04:01.8
5608268,http://www.dailymile.com/entries/5608268,2011-02-27 18:08:55,Barefoot and shirtless,good,00:36:02,4.0476,6.5000,First time I ran without a shirt in a LONG time.  Felt hot today in this Florida sunshine.  Probably should have limited myself to 2 or 3 miles barefoot since my feet were complaining a bit at the end.,2,Barefoot,sunny,455,00:08:54.14369,00:05:32.615385
5680760,http://www.dailymile.com/entries/5680760,2011-03-03 03:49:15,8th Ave short flat,alright,00:38:29,4.3000,6.9000,Too much food and drink for dinner.,3,RunAmoc,,480,00:08:56.976744,00:05:34.637681
5960912,http://www.dailymile.com/entries/5960912,2011-03-17 23:02:05,Easy shakeout run in VFF,alright,00:48:11,5.7200,9.2000,Good to feel the ground again (after so many runs in NB Minimus).,2,VFF Bikila,,590,00:08:25.41958,00:05:14.23913
5988347,http://www.dailymile.com/entries/5988347,2011-03-19 16:19:51,Trail of Payne 10k,good,00:42:12,6.2000,10.0000,"Trail of Payne is an awesome trail race!  Great day!  Could not be happier!  Wanted to go out slow and run this as a progression.  We ended up just a little faster than I planned on the first mile, but we held this and increased pace through most of the splits.  Thanks Patrick Oscar B. for pulling me through to a great time and we had fun while doing it.  Splits were something like: 7:02/6:59/6:45/6:55/6:40/6:38/1:07.  Managed 2nd in my age group. Now, to ice my Achilles tendon area...",5,Mizuno Wave Universe 3,,516,00:06:48.387097,00:04:13.2
6002831,http://www.dailymile.com/entries/6002831,2011-03-20 13:00:31,Easy RunAmocs,alright,00:46:44,3.8000,6.1000,Just loosening up after yesterday's race.,1,RunAmoc,,565,00:12:17.894737,00:07:39.672131
6173099,http://www.dailymile.com/entries/6173099,2011-03-29 02:30:42,bleh,blah,00:41:07,4.0000,6.4000,Felt pretty depleted.,2,NB Minimus Road,,504,00:10:16.75,00:06:25.46875
7239054,http://www.dailymile.com/entries/7239054,2011-05-20 19:49:45,barefoot morning run,alright,00:30:00,2.5000,4.0000,Just now getting a chance to log it in dailymile.,1,Barefoot,,363,00:12:00,00:07:30
