id	url	timestamp	title	activity_type	felt	duration_seconds	distance	distance_units	description	effort_outof_5	gear	weather	calories
2082456	http://www.dailymile.com/entries/2082456	2010-06-09T04:00:00Z	Hogtown Creek Greenway	Running	alright		1	miles	Ran by myself so I could work on form.  I had to try out my new RunAmocs!  I like them a lot.  Seems like they are a little bit small (my toes end up pushing on the front inside of the moccasin) even though the Soft Star web site says to go smaller if between sizes (I wear size 9 1/2, ordered size 9).  The longest part of the shoe seems too close to the middle of the shoe, rather than offset in front of the big toe.  Also, the top of the shoe stretches over the big toe like a tent (as if there is not enough internal height). Not sure if a larger size would fix these issues or maybe just have to run in them more than once.		RunAmoc		110
2090124	http://www.dailymile.com/entries/2090124	2010-06-10T17:26:21Z							Our  office manager just came to work in new pink Vibram FiveFingers shoes.				
2100269	http://www.dailymile.com/entries/2100269	2010-06-11T15:22:39Z	Stationary bike	Cycling	good	1200			Gave my calves a rest and hopped on the exercise bike.				227
2112630	http://www.dailymile.com/entries/2112630	2010-06-12T04:00:00Z	Hogtown Creek Greenway	Running	good		3	miles	Ran most of this in my huarache sandals.  The last 3/4 mile barefoot.  Cadence Cadence Cadence!  Someone stopped me to chat because he had never seen anyone running in sandals before.		Huarache Sandals		331
2122650	http://www.dailymile.com/entries/2122650	2010-06-13T04:00:00Z	VFF Bikilas!	Running	alright		1.5	miles	Had to try the new VFF Bikila shoes I bought today.  Only downside so far is that they make my toes really hot!  Since I was at Lloyd Clarke Sports I also tried the Newtons.  They were very interesting shoes, felt great, like I could run a ton of miles on them... but also seemed like they would let my form go lazy.  $150 for the entry level Newton seems like too much money.		VFF Bikila	hot	165
2122729	http://www.dailymile.com/entries/2122729	2010-06-13T22:31:48Z							LOL, my Bikilas color-coordinate with my dailymile profile theme.				
2133420	http://www.dailymile.com/entries/2133420	2010-06-14T19:55:35Z							"Hates Mondays at dailymile... where the weekly training mileage says ""0 MI"" even though I'm tired from the Sunday run."				
2148453	http://www.dailymile.com/entries/2148453	2010-06-15T04:00:00Z	Hogtown Creek Greenway	Running	blah	1710	2.4042	miles	"Ran in my Nike Free Run+ because my calves and foot were not feeling happy.  After all the running barefoot and in minimal shoes, I think my feet are more sensitive and I could feel ""through"" the insole to all of the bumps and ridges in the support structure... and one shoe felt different than the other.  I felt a hard ridge under the ball of the right foot.  It was very distracting and my foot eventually started hurting."		Nike Free Run+		363
2163722	http://www.dailymile.com/entries/2163722	2010-06-17T02:28:34Z	stationary bike	Cycling		1200							227
2178919	http://www.dailymile.com/entries/2178919	2010-06-18T12:46:57Z							"Suffering from RBES... ""Running Barefoot Exuberance Syndrome""."				
2185649	http://www.dailymile.com/entries/2185649	2010-06-19T01:54:41Z							"I think I know why I hurt my foot... trying too hard to do ball-heel-ball caused me to point my toes too much and slap the ball down too hard.  I have also been moving through the foot roll motion too slowly.  The elite runners and my 3-year-old daughter (kids are handy sometimes) seem to land ""almost flat"" but really it's just barely front- or mid-foot before the heel touches down.  Now... to rest."				
2202296	http://www.dailymile.com/entries/2202296	2010-06-20T21:33:33Z							What's up with men's sport watches being so big and bulky?  I ponder buying a women's watch to cut down on size and weight.				
2202322	http://www.dailymile.com/entries/2202322	2010-06-20T04:00:00Z	stationary bike	Cycling	good	2400			Being stuck on a bike isn't all bad... I was able to finish reading a book, watch some youtube videos about barefoot running, and drink a Father's Day beer.  :)				519
2228559	http://www.dailymile.com/entries/2228559	2010-06-22T04:00:00Z	1.5 barefoot	Running	injured		1.5	miles	Coming off the damp greenway trail and hitting the concrete sidewalk on 8th Ave gave me blisters but did not realize until I got home and happened to look at the bottom of my foot.  Concrete was not bad at all in the shade.  My foot injury still hurts so I am a dumbass for running at all.		Barefoot		165
2251251	http://www.dailymile.com/entries/2251251	2010-06-24T18:40:11Z							"""Extensor Tendonitis"" sounds like the cause of my foot pain.  I thought the pain was originating inside my foot but then I discovered it is painful to the touch on the top of my foot just behind my toes and when I pull my toes ""up"".  Ibuprofen has been working wonders.  In the first link, the picture has a blue arrow pointing right at my pain..."				
2251868	http://www.dailymile.com/entries/2251868	2010-06-24T19:57:31Z							TOFP = Top of Foot Pain, seems to follow after Calve Pain in new barefoot runners (exactly what happened to me).  http://gobarefooting.wordpress.com/2010/04/21/injury-top-of-the-foot-pain/				
2259880	http://www.dailymile.com/entries/2259880	2010-06-25T14:23:27Z							"Use Cotton Balls to Treat Top of Foot Pain Tendonitis
http://thatlinuxbox.com/blog/article.php/20100625125949716"				
2276324	http://www.dailymile.com/entries/2276324	2010-06-26T04:00:00Z	stationary bike	Cycling	good	2400							519
2276340	http://www.dailymile.com/entries/2276340	2010-06-27T03:04:08Z							The ocean waves and sandy beach were good therapy for my tendonitis.  I feel like I might actually be able to run again some day soon.  :)				
2286310	http://www.dailymile.com/entries/2286310	2010-06-27T04:00:00Z	stationary bike again	Cycling	good	2400							519
2295729	http://www.dailymile.com/entries/2295729	2010-06-28T20:50:26Z							Nice note from someone at work on my going away card.  Kick Asphalt!				
2303906	http://www.dailymile.com/entries/2303906	2010-06-29T13:22:03Z							No pain in my foot today!   It is still a little tender to the touch (e.g. mild inflammation) so I'll take a few more days off.				
2304138	http://www.dailymile.com/entries/2304138	2010-06-29T13:40:17Z							"I ordered some Sanuk ""sandals"" for new job work shoes.  These have very near zero drop.  http://www.zappos.com/sanuk-overboard-dark-brown"				
2309898	http://www.dailymile.com/entries/2309898	2010-06-29T04:00:00Z	Hogtown Creek Greenway	Running	good		1	miles	"The rain scared off my running buddies so I was able to run slow and easy without any ""man pressure"" (TM).  Ran trails in my VFF, actually my first real run in them.  I'm glad I was not barefoot... due to the LIGHTNING! and the fact that the trail got really dark, especially with my glasses fogging up.  Bikilas have pretty good traction on wet boardwalk.  Listened to my body, no foot pain!  Icing now."		VFF Bikila		110
2351035	http://www.dailymile.com/entries/2351035	2010-07-02T04:00:00Z	Testing my new Deuter backpack.	Running	good	1200	1	miles	Run / walk in the dark in the rain in my VFF Bikilas.  I tested my new Deuter Race EXP backpack crammed full of stuff.  I think it will work for commuting.		VFF Bikila		259
2356130	http://www.dailymile.com/entries/2356130	2010-07-03T04:00:00Z	Good to be running again.	Running	alright	1580	2	miles	Slow run in my huarache sandals, looking over the hazards on the Melon Run course.   Trying to decide whether to run tomorrow or spectate, and what to wear on my feet.		Huarache Sandals		337
2363194	http://www.dailymile.com/entries/2363194	2010-07-03T04:00:00Z	barefoot	Running	good		0.5	miles	"Played ""follow the leader"" with my 3-year old.  We ended up barefoot running through the woods.  It was fun!"		Barefoot		61
2363210	http://www.dailymile.com/entries/2363210	2010-07-04T04:00:00Z	Spectating the Gainesville Melon Run	Running	alright		1	miles	Ran about a mile taking pictures of the Gainesville Melon Run.  I'll try to find a place to share the pictures.		VFF Bikila		122
2367999	http://www.dailymile.com/entries/2367999	2010-07-04T21:31:03Z							"2010 Gainesville Melon Run pics:
http://www.flickr.com/photos/stonerfamily/sets/72157624296302985/"				
2392874	http://www.dailymile.com/entries/2392874	2010-07-06T04:00:00Z	Yay for shoes.	Running	good	2610	3.5	miles	Going to cut back on the barefoot and minimalist shoes for a bit.  My feet are just not ready to go minimalist full-time.  I ran in Nike Frees tonight and the things went well.  Pain-free, slow, but well.		Nike Free Run+		618
2420042	http://www.dailymile.com/entries/2420042	2010-07-09T00:00:10Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	good	2298	4.0476	miles	Whew!  I'm tired now.  Ran in Nike Frees.  If you are still running in cotton t-shirts, go buy some Champion Duo-Dry at Target... seems to make a huge difference on these hot humid summer days.		Nike Free Run+		546
2420918	http://www.dailymile.com/entries/2420918	2010-07-09T01:07:14Z							"Just discovered that dailymile allows you to add ""gear"" to each run.  I guess this means I can figure out how many mile barefoot vs shod, etc."				
2441987	http://www.dailymile.com/entries/2441987	2010-07-10T23:11:00Z	Yay for barefoot	Running	good	2117	2.5	miles	Mostly on shady trails but some sidewalk and road.  Concentrated on form, trying to avoid blisters from 4pm hot surfaces.  I did get some blisters but at least none of them ripped open.  I guess this means my technique is getting better.  Running without pain certainly helps, too.  It was nice to feel the trail under my bare feet again.		Barefoot		503
2446706	http://www.dailymile.com/entries/2446706	2010-07-11T14:23:47Z	Longest run so far this year!	Running	alright	3965	5.5	miles	Wanted to try getting a longer run in today.  Already hot by 8am.  Wasn't sure how far it was until I got back home and mapped it.  Ran along 16th Ave and University.  I'm surprised by my pace, I figured it would be slower... so that's good.  :)		Nike Free Run+		949
2477994	http://www.dailymile.com/entries/2477994	2010-07-13T22:32:39Z	Hogtown Creek Greenway	Running	tired	1422	2.4042	miles	One of the guys decided to rabbit us today and we all died hard.		VFF Bikila		330
2478515	http://www.dailymile.com/entries/2478515	2010-07-13T23:20:49Z							"Ah... this page shows how many miles are on each piece of ""gear"":  
http://www.dailymile.com/training/settings"				
2493517	http://www.dailymile.com/entries/2493517	2010-07-14T23:55:17Z	Brywood hills	Running	alright	2127	3.4	miles	Hills, hills, hills!		Nike Free Run+		503
2501782	http://www.dailymile.com/entries/2501782	2010-07-15T14:55:31Z							"My mileage by footwear:
    *  Nike Free Run+ – 24 mi
    * Barefoot – 7 mi
    * Huarache Sandals – 7 mi
    * RunAmoc – 1 mi
    * VFF Bikila – 7 mi"				
2530085	http://www.dailymile.com/entries/2530085	2010-07-17T23:50:51Z	RunAmoc trial 2	Running	blah	2011	2.5	miles	Gave my RunAmocs another try. That's probably the last time I run in them. A combination of the moccasin design that has too little internal height and probably wearing a size too small puts too much pressure on my big toenail.		RunAmoc		474
2530176	http://www.dailymile.com/entries/2530176	2010-07-18T00:05:25Z	I run faster in Nike Frees	Running	blah	1817	2.5	miles	After running in my RunAmocs, I ran exactly the same route in my Nike Frees.  Despite being hot and tired already, I easily knocked over a minute off each mile pace.  At this point I'm pretty well convinced that I run faster and with less effort in my Nikes than any of my minimalist shoes (or barefoot).		Nike Free Run+		431
2555079	http://www.dailymile.com/entries/2555079	2010-07-20T01:33:38Z	5 miles in Nike Free Run+	Running	good	3046	5	miles	"Really tight at the beginning.  Had a few ""Eureka"" moments where the technique all came together and I was LIFTING instead of PUSHING and felt like I was floating along.  Now, if I can only transfer that over to my minimalist shoes..."		Nike Free Run+		719
2567027	http://www.dailymile.com/entries/2567027	2010-07-20T23:29:02Z	None	Running	alright	2447	3.869	miles	Hot out there.		Nike Free Run+		575
2586417	http://www.dailymile.com/entries/2586417	2010-07-22T11:01:35Z	Morning run in Bikilas... my longest run in VFF and my fastest pace yet in dailymile	Running	great	2152	4	miles	"I actually felt fast during parts of the run.  My calves are sore but other parts of my lower legs (top of foot, ankle) seem to be ok.  It helps to go into a minimalist run starting fresh and without existing lower leg aches, tiredness, and stiffness.  I think my Nikes are still more forgiving on bad technique and tired legs.  My cardio is finally good enough where I can hold the tempo and technique (and keep ""lifting"") long enough to finish one of these runs in minimalist footwear."		VFF Bikila		503
2586479	http://www.dailymile.com/entries/2586479	2010-07-22T11:11:43Z							Before I forget... VFF Bikila are not very good on sandy trails.  The traction seems to be designed for roads and sidewalks.				
2616574	http://www.dailymile.com/entries/2616574	2010-07-24T22:46:13Z	None	Running	blah	4008	5.5352	miles	I wanted to go exploring and find some new trails close to home.  It turns out that the nature trails at this city park are very short.  However, there are lots of places to run nearby including Devil's Millhopper so I managed to get over 5 miles in.  It was HOT and this was my first run carrying a water bottle.		Nike Free Run+	hot	949
2616693	http://www.dailymile.com/entries/2616693	2010-07-24T23:05:16Z							Nathan Quickdraw running water bottle.				
2620943	http://www.dailymile.com/entries/2620943	2010-07-25T13:27:48Z	morning barefoot run	Running	good	1944	2.5	miles	Ran my usual Hogtown Greeway run.  Despite the trails being damp and the boardwalks still having some standing water, the concrete sidewalk parts did not chew up my feet.  Only took a tiny bit of skin off my right foot ball/toe area.  I guess my technique is getting better.		Barefoot	humid	454
2620954	http://www.dailymile.com/entries/2620954	2010-07-25T13:28:34Z							Running in the morning and being the first person on a singletrack trail is awesome... except for the spider webs.				
2626328	http://www.dailymile.com/entries/2626328	2010-07-25T20:31:17Z	San Felasco - Spring Grove Trail (yellow) to Hammock Cutoff (green)	Running	good	2501	4	miles	Running with a buddy who refuses to join dailymile (Matt!!!).  I was too busy looking at the roots and debris on the trail to notice any blazes, but I think that's the route we took (and we think it is about 4 miles).  It was hot!  Glad to be carrying water.  I liked that there were both gradual ups and downs as well as some pretty steep hills.  Felt pretty good considering this was my second run of the day.		Nike Free Run+	hot	582
2642461	http://www.dailymile.com/entries/2642461	2010-07-27T00:22:57Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	tired	2730	4.0476	miles	Yeah... today probably should have been a rest day.  I worked late, so I ran later than usual but had no dinner before.  Do not start a run when your stomach is grumbling for food!  I was so out of Lift that I even let myself heel strike for portions of the run and also did some walking.		Nike Free Run+	hot	639
2643097	http://www.dailymile.com/entries/2643097	2010-07-27T01:03:07Z							"New shoes coming out over the next year or two to meet minimalist demands... these are exciting times!
http://www.runnersworld.com/community/forums/runner-communities/barefoot-running/inov8-evoskins-bare-grip-200-pics"				
2648716	http://www.dailymile.com/entries/2648716	2010-07-27T12:47:38Z	easy morning barefoot run	Running	alright		1	miles	"The lady across the street shouted ""Dan!  You run barefoot?"".  I said ""Sometimes!"".  After an initial reaction that I read to be similar to ""yikes"", she shouted ""Good for you!""."		Barefoot		120
2656694	http://www.dailymile.com/entries/2656694	2010-07-28T00:05:58Z	VFF run including a couple intervals	Running	injured	1590	2.5	miles	"I was going to say we did two .3 mile tempo runs during this, but then I looked up the term ""tempo run"" and realized I was misusing it.  Whatever they are called, we did two sections of faster pace in the middle.  I think we hit 7 minute per mile pace during the fast parts.  I developed TOFP towards the end.  Time to take a day off."		VFF Bikila	hot	369
2656698	http://www.dailymile.com/entries/2656698	2010-07-28T00:06:13Z							"What is a Tempo Run?
http://runningtimes.com/Article.aspx?ArticleID=5615&PageNum=2"				
2673734	http://www.dailymile.com/entries/2673734	2010-07-29T02:44:49Z	stretching and resting	Fitness	injured	1200			I've been lazy about stretching.  Rested the foot, stretched the muscles.  Threw in some situps for good measure.				
2693636	http://www.dailymile.com/entries/2693636	2010-07-30T16:55:27Z	aaahhhh... another day of rest	Fitness	injured	3600			Doing nothing, probably drinking some beer.  I can feel my legs and tissues recovering.  Should have a good run in a few days when I'm all healed up.				
2703169	http://www.dailymile.com/entries/2703169	2010-07-31T15:42:54Z	3mi barefoot	Running	injured	2760	3	miles	Went really slow trying not to aggravate the foot.  Wanted to get those healing juices flowing.   Icing now.  Made the mistake of wearing cotton thinking it was not yet very hot outside.		Barefoot	hot	653
2713547	http://www.dailymile.com/entries/2713547	2010-08-01T04:00:00Z	San Felasco Preserve off 441	Running	great	6000	8.62	miles	Awesome trail run in San Felasco with Cathy B.  It was nice to be able to draft off an experienced trail runner and not worry about getting lost in the miles and miles of trails at the Preserve.  Wildlife included some deer, an owl, and a barefoot runner.  This was a big jump in distance for me and I was definitely tired by the end.  Overall a great day.	3	Nike Free Run+	humid	1420
2727658	http://www.dailymile.com/entries/2727658	2010-08-02T15:20:18Z							Those trails yesterday really beat me up.  Today is rest and recovery day.  Hey body, REBUILD!				
2748760	http://www.dailymile.com/entries/2748760	2010-08-04T00:27:46Z	Hogtown Creek Greenway	Running	good	1490	2.4042	miles	Nice easy start and picked it up for the second half.	4	Nike Free Run+	hot	340
2754528	http://www.dailymile.com/entries/2754528	2010-08-04T12:19:47Z	run with joggers	Running	alright	2025	3	miles	This morning I ran with some people from my last job.  They are joggers.  They meet early to run together, put on their headphones, and then maybe or maybe not stick together.  I was confused by the whole thing.  I'm not sure I want to get up at 5:15am to run with people by myself.  Actually towards the end one of them took of their gear and we were able to talk at a conversational pace which was nice.	2	Nike Free Run+	humid	463
2765934	http://www.dailymile.com/entries/2765934	2010-08-05T01:46:55Z							"My Minimalist Running Shoe Comparison:

http://thatlinuxbox.com/blog/article.php/20100801193033353

Includes how many miles I put on each type (thanks, dailymile!)."				
2778033	http://www.dailymile.com/entries/2778033	2010-08-06T00:23:27Z	Hogtown Creek Greenway	Running	blah	1796	2.4042	miles		2	Nike Free Run+	humid	407
2793205	http://www.dailymile.com/entries/2793205	2010-08-07T13:18:42Z	San Felasco Preserve off 441	Running	alright	4200	6	miles	Trail running is best.  Thanks Cathy!	3	Nike Free Run+	humid	982
2805300	http://www.dailymile.com/entries/2805300	2010-08-08T13:42:16Z	Fast barefoot run	Running	good	1386	2.4	miles	"I was just going to do a nice, easy morning run... but then two shod runners turned onto the trail at the same time as me.  The guy gave some neighborly advice: ""Don't stub your toe on a tree root.""  The female runner said ""We're just jealous.""   She actually had a nice midfoot strike, even though she was wearing marshmallow shoes.  I hung in behind them for a while, and when I turned onto 8th Ave I just started cruising (the other runners had stopped to rest)... and kept cruising... and kept cruising.  Pretty sure this is my fastest barefoot run yet.  There were quite a few people out today, so I contributed some good barefoot exposure to the world.  My leg muscles were ""twitchy"" afterwards."	4	Barefoot	humid	322
2805503	http://www.dailymile.com/entries/2805503	2010-08-08T14:05:26Z							Conjecture:  the reason that human short term memory tends to be able retain 7 items... because that is the most optimal count to ensure obstacle avoidance (sticks, rocks, roots, ...) while running at hunting pace.  It explains why we can look ahead on the trail (not down at our feet) and still somehow avoid stepping on sharp things.  Now, someone go research this.  :)				
2862235	http://www.dailymile.com/entries/2862235	2010-08-12T12:08:20Z	swim and barefoot run	Running	blah		1.5	miles	I'm a horrible swimmer so after a while I decided to get out of the pool and run.	2	Barefoot		178
2881571	http://www.dailymile.com/entries/2881571	2010-08-13T23:23:18Z	None	Running	alright		4.5	miles	VFF Bikila seem to be nice for running in the rain on man-made surfaces. Felt weird today... breathing was not fast or hard at all but my heart rate seemed high.  Started getting a twinge in my arch after 4 miles, so stopped to walk. Took off the VFF and walked barefoot for a bit.	3	VFF Bikila	rain	536
2881581	http://www.dailymile.com/entries/2881581	2010-08-13T23:24:15Z							Not so sure about the new dailymile interface.				
2881622	http://www.dailymile.com/entries/2881622	2010-08-13T23:29:50Z	None	Running	good		1.7	miles	Finished the route barefoot after taking off my VFF.  Felt pretty fast. Even though my feet were soaked, the bottoms of my feet held up pretty well.  I'm considering running a 5k race barefoot.	4	Barefoot	rain	202
2886862	http://www.dailymile.com/entries/2886862	2010-08-14T14:33:05Z	Greenway to University turn at Swamp	Running	blah	3662	5.53	miles	"Morning run before breakfast.  Hopefully burned some fat. Didn't have much lift today after running last night, took a lot of effort to keep moving.  Where is ""Humid"" in Weather?"	4	Nike Free Run+		856
2897353	http://www.dailymile.com/entries/2897353	2010-08-15T14:09:27Z	San Felasco Hammock Preserve trails (off Millhopper Rd)	Running	alright	5334	7.2	miles	Did the outside loop, blue then yellow.  The sandy spots were damp / packed and didn't give me much trouble.  Three long days in a row... this dog is tired.	2	Nike Free Run+		1235
2933115	http://www.dailymile.com/entries/2933115	2010-08-18T00:59:31Z	Hogtown Creek Greenway	Running	good	1470	2.4042	miles	Barefoot, felt great.	3	Barefoot		336
2933176	http://www.dailymile.com/entries/2933176	2010-08-18T01:03:55Z	Tried the huarache sandals again.	Running	alright		1.5	miles	After doing 2.4 miles with my friend Matt, I felt like going a little bit more... but the bottoms of my feet were a little tender. Decided to give the huaraches another try.  They were fine until they rubbed a raw spot in between my toes.	4	Huarache Sandals		208
2933197	http://www.dailymile.com/entries/2933197	2010-08-18T01:05:18Z	Barefoot finish after huarache fail	Running	alright		1	miles	Ran the rest of the way home holding my huaraches in my hands after they rubbed a raw spot between my toes.	3	Barefoot		149
2965624	http://www.dailymile.com/entries/2965624	2010-08-20T11:50:40Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	blah	2537	4.0476	miles	Very creaky this morning.	2	Nike Free Run+		589
2973661	http://www.dailymile.com/entries/2973661	2010-08-21T01:32:51Z	Brywood to 13th St	Running	alright		3.19	miles	Burning off those extra pieces of pizza I ate for dinner.	1	Nike Free Run+		380
2978380	http://www.dailymile.com/entries/2978380	2010-08-21T15:12:47Z	San Felasco	Running	alright	6843	10.4	miles	That place was BUSY today.  Ran half of Cathy B.'s workout.  Over 10 miles, that's my new longest run!	3	Nike Free Run+		1599
3006479	http://www.dailymile.com/entries/3006479	2010-08-23T20:07:51Z							Registered for the Project Haiti 5k this weekend.				
3024845	http://www.dailymile.com/entries/3024845	2010-08-25T00:49:50Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	good	2245	4.0476	miles	Did a fast pick-up in the middle, pushed my friend Matt's distance up a little.  Went fast enough to feel it in the hamstrings.	4	Nike Free Run+	windy	512
3040540	http://www.dailymile.com/entries/3040540	2010-08-26T01:16:45Z	4 miles with some fartleks	Running	alright		4	miles	Getting my wheels back.	3	Nike Free Run+		471
3059152	http://www.dailymile.com/entries/3059152	2010-08-27T12:14:22Z	barefoot 4 miles	Running	alright		4	miles	"Woke up early feeling crummy, headache, a little hungover, couldn't get back to sleep.  Slipped out of the house quietly with my feet completely free.  My first barefoot run in the dark.  Rubbed off a little skin which unfortunately means I probably won't race barefoot tomorrow.  I have been pounding out the miles in my Nike Frees.  I guess ""pounding"" is the keyword here... I started having knee pain earlier in the week even though I have been maintaining a forefoot / mid-foot strike.  Still had the pain this morning until after the first mile, but running barefoot forced me to run lighter and now the joint pain is gone.  I'm a believer."	2	Barefoot	rain	471
3070674	http://www.dailymile.com/entries/3070674	2010-08-28T14:26:03Z	warm up and cool down for race	Running	good		1	miles		1	Nike Free Run+		117
3071377	http://www.dailymile.com/entries/3071377	2010-08-28T04:00:00Z	Project Haiti 5k race in VFF Bikilas	Running	good	1342	3.1	miles	I'm happy with this performance for a first race.  Hope the official times get posted somewhere... I didn't pay close attention at the end (too busy sprinting) but I'm pretty sure I was under 23 minutes.  Did not see any other Vibrams out there. The VFF Bikila did great as a road racing shoe.	5	VFF Bikila		304
3075019	http://www.dailymile.com/entries/3075019	2010-08-28T19:11:07Z							Me (in the VFF Bikilas) and Matt after the Project Haiti 5k.  My first race since I started running again.				
3083874	http://www.dailymile.com/entries/3083874	2010-08-29T16:26:14Z	10 miles barefoot - San Felasco mountain bike trails	Running	tired	7140	10	miles	It is a lot of fun running barefoot on trails! This was a huge milestone for me.  Thanks Cathy B. for going slower today which allowed me to do this run.  Calves were still sore and tired from yesterday's 5k race. No major injuries from trail debris or tree roots. I had to remove a tiny thorn from my heel and I hit a rock or something that really hurt for a while. It was very hard to keep up the cadence and lift towards the end, so I was landing heavier on my whole foot than I wanted.  The feet and calves are sore.  My knees feel great, though.	3	Barefoot		1649
3094514	http://www.dailymile.com/entries/3094514	2010-08-30T12:55:36Z							So sore today that walking is difficult.  It was a great running weekend!				
3102549	http://www.dailymile.com/entries/3102549	2010-08-30T23:48:39Z							"Project Haiti 5k results posted, including results by age.  I got 3rd in my age group with a nice-looking time of all twos:  22:22.2

http://projecthaiti.sites.medinfo.ufl.edu/"				
3144620	http://www.dailymile.com/entries/3144620	2010-09-02T23:49:25Z	On UF campus	Running	tired	3540	5.4	miles	Calves were still sore today.  It was hot.  Felt tired and slow.	2	Nike Free Run+	hot	817
3160102	http://www.dailymile.com/entries/3160102	2010-09-04T12:59:17Z	San Felasco (Millhopper)	Running	good		4.8	miles	Nice barefoot run on the trails.  Forgot to stop my watch.  Saw lots of friendly faces this morning and had a bigger group than usual.  Cathy B. - sorry I couldn't hang longer and do another loop.	3	Barefoot		565
3172634	http://www.dailymile.com/entries/3172634	2010-09-05T15:04:57Z	Hogtown Creek Greenway	Running	good		1.5	miles	Warmup and cooldown.	1	VFF Bikila		176
3172668	http://www.dailymile.com/entries/3172668	2010-09-05T15:07:30Z	Tempo run	Running	good	553	1.2	miles	VFF Bikilas were slipping on the sandy parts, otherwise felt good.	5			124
3207070	http://www.dailymile.com/entries/3207070	2010-09-08T01:00:42Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	good	1200	2	miles	Warmup out.	2	VFF Bikila		277
3207135	http://www.dailymile.com/entries/3207135	2010-09-08T01:04:13Z	Tempo run	Running	good	867	2	miles	Tempo run on the way back.  16th Ave got very dark on the last stretch from 34th St. so I had to slow down in the pitch black.  My lungs are my weak link right now.	5			194
3212308	http://www.dailymile.com/entries/3212308	2010-09-08T12:18:27Z							"I think I have some Achilles Tendonitis.  I've had the ""tenderness on palpation"" for months but haven't thought too much about it since it wasn't getting worse or affecting me in some way.  Last night after my tempo run my achilles was painfully sore.  I've started ice treatments and will probably go back to my heeled shoes (Nike Frees) after taking some time off.
http://www.sportsinjuryclinic.net/cybertherapist/back/achilles/tendinitis.htm"				
3247483	http://www.dailymile.com/entries/3247483	2010-09-10T23:54:30Z	easy 3 barefoot	Running	alright		3	miles	After wearing ankle support all day for 3 days (took it off at night), the tenderness around my Achilles tendon went away.  Nice easy barefoot run to get the stiffness out.  After the run I have a little tenderness again so will continue to ice and take it easy, but I think I'm ok to start doing eccentric strength exercises.	2	Barefoot		353
3259999	http://www.dailymile.com/entries/3259999	2010-09-12T00:26:29Z	running along with my daughter on her bike ride	Running	alright		1.5	miles	My daughter is getting faster on her bike.  She's still in training wheels but I had to work to keep up on with her on the downhills.	3	RunAmoc		176
3273568	http://www.dailymile.com/entries/3273568	2010-09-13T00:47:46Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	blah		4.0476	miles	"Ran with friend Matt.  It was super humid after the rain... the breeze didn't seem to help at all.  Felt very ""blah"".  Seemed to take a lot of effort but I know we were not going very fast."	3	Nike Free Run+		476
